date,cases,deaths,weekday,Increase in Cases
2020-01-21,1,0,Tuesday,1
2020-01-24,2,0,Friday,1
2020-01-25,3,0,Saturday,1
2020-01-26,5,0,Sunday,2
2020-01-30,6,0,Thursday,1
2020-01-31,7,0,Friday,1
2020-02-01,8,0,Saturday,1
2020-02-02,11,0,Sunday,3
2020-02-05,12,0,Wednesday,1
2020-02-10,13,0,Monday,1
2020-02-12,14,0,Wednesday,1
2020-02-13,15,0,Thursday,1
2020-02-17,25,0,Monday,10
2020-02-20,27,0,Thursday,2
2020-02-21,30,0,Friday,3
2020-02-24,43,0,Monday,13
2020-02-25,45,0,Tuesday,2
2020-02-26,60,0,Wednesday,15
2020-02-28,65,0,Friday,5
2020-02-29,70,1,Saturday,5
2020-03-01,88,3,Sunday,18
2020-03-02,104,6,Monday,16
2020-03-03,125,10,Tuesday,21
2020-03-04,161,12,Wednesday,36
2020-03-05,228,12,Thursday,67
2020-03-06,311,15,Friday,83
2020-03-07,428,19,Saturday,117
2020-03-08,547,22,Sunday,119
2020-03-09,748,26,Monday,201
2020-03-10,1018,31,Tuesday,270
2020-03-11,1263,37,Wednesday,245
2020-03-12,1668,43,Thursday,405
2020-03-13,2224,50,Friday,556
2020-03-14,2898,60,Saturday,674
2020-03-15,3600,68,Sunday,702
2020-03-16,4507,91,Monday,907
2020-03-17,5906,117,Tuesday,1399
2020-03-18,8350,162,Wednesday,2444
2020-03-19,12393,212,Thursday,4043
2020-03-20,18001,275,Friday,5608
2020-03-21,24526,358,Saturday,6525
2020-03-22,33063,455,Sunday,8537
2020-03-23,43500,574,Monday,10437
2020-03-24,53924,769,Tuesday,10424
2020-03-25,68530,1039,Wednesday,14606
2020-03-26,85558,1345,Thursday,17028
2020-03-27,102829,1758,Friday,17271
2020-03-28,123723,2287,Saturday,20894
2020-03-29,142397,2702,Sunday,18674
2020-03-30,163863,3356,Monday,21466
2020-03-31,188413,4290,Tuesday,24550
2020-04-01,215161,5315,Wednesday,26748
2020-04-02,244619,6542,Thursday,29458
2020-04-03,277262,7902,Friday,32643
2020-04-04,312498,9466,Saturday,35236
2020-04-05,337959,10828,Sunday,25461
2020-04-06,367568,12330,Monday,29609
2020-04-07,399352,14579,Tuesday,31784
2020-04-08,431169,16673,Wednesday,31817
2020-04-09,465859,18772,Thursday,34690
2020-04-10,499325,21028,Friday,33466
2020-04-11,531042,23105,Saturday,31717
2020-04-12,558182,24785,Sunday,27140
2020-04-13,583940,26547,Monday,25758
2020-04-14,610615,29246,Tuesday,26675
2020-04-15,640637,31994,Wednesday,30022
2020-04-16,672243,34264,Thursday,31606
2020-04-17,703740,36626,Friday,31497
2020-04-18,732121,38571,Saturday,28381
2020-04-19,757475,40089,Sunday,25354
2020-04-20,784761,41919,Monday,27286
2020-04-21,810249,44587,Tuesday,25488
2020-04-22,839017,46955,Wednesday,28768
2020-04-23,872805,49123,Thursday,33788
2020-04-24,909530,51250,Friday,36725
2020-04-25,943802,53210,Saturday,34272
2020-04-26,970409,54465,Sunday,26607
2020-04-27,993747,56022,Monday,23338
2020-04-28,1018399,58416,Tuesday,24652
2020-04-29,1045102,60930,Wednesday,26703
2020-04-30,1075517,63140,Thursday,30415
2020-05-01,1109476,64902,Friday,33959
2020-05-02,1138944,66485,Saturday,29468
2020-05-03,1165013,67816,Sunday,26069
2020-05-04,1186965,68905,Monday,21952
2020-05-05,1210669,71139,Tuesday,23704
2020-05-06,1235174,73847,Wednesday,24505
2020-05-07,1263668,75805,Thursday,28494
2020-05-08,1291329,77380,Friday,27661
2020-05-09,1316167,78834,Saturday,24838
2020-05-10,1336478,79765,Sunday,20311
2020-05-11,1354096,80747,Monday,17618
2020-05-12,1376388,82400,Tuesday,22292
2020-05-13,1397520,84168,Wednesday,21132
2020-05-14,1424474,85906,Thursday,26954
2020-05-15,1450700,87499,Friday,26226
2020-05-16,1474351,88724,Saturday,23651
2020-05-17,1493350,89568,Sunday,18999
2020-05-18,1515177,90414,Monday,21827
2020-05-19,1536129,91934,Tuesday,20952
2020-05-20,1559003,93406,Wednesday,22874
2020-05-21,1584826,94721,Thursday,25823
2020-05-22,1608710,96010,Friday,23884
2020-05-23,1630912,97060,Saturday,22202
2020-05-24,1651004,97680,Sunday,20092
2020-05-25,1670101,98190,Monday,19097
2020-05-26,1688990,98937,Tuesday,18889
2020-05-27,1707699,100422,Wednesday,18709
2020-05-28,1730158,101622,Thursday,22459
2020-05-29,1754724,102812,Friday,24566
